,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
rouge-anyref-pegasus-cnndm-constant-16-32_rougeL,0.204,0.237,0.054,-0.119
rouge-anyref-pegasus-cnndm-constant-16-32_rougeLsum,0.204,0.237,0.054,-0.119
rouge-anyref-pegasus-cnndm-constant-32-64_rouge1,0.282,0.311,0.118,-0.085
rouge-anyref-pegasus-cnndm-constant-32-64_rouge2,0.219,0.203,0.065,-0.088
rouge-anyref-pegasus-cnndm-constant-32-64_rougeL,0.203,0.237,0.052,-0.121
rouge-anyref-pegasus-cnndm-constant-32-64_rougeLsum,0.203,0.237,0.052,-0.121
bleurt-anyref-pegasus-newsroom-default_scores,0.263,0.266,0.13,-0.036
bleurt-anyref-pegasus-newsroom-min-0.2-0.5_scores,0.335,0.296,0.175,0.028
bleurt-anyref-pegasus-newsroom-min-0.5-0.7_scores,0.335,0.296,0.175,0.028
bleurt-anyref-pegasus-newsroom-mean-0.2-0.5_scores,0.335,0.296,0.175,0.028
bleurt-anyref-pegasus-newsroom-mean-0.5-0.7_scores,0.335,0.296,0.175,0.028
bleurt-anyref-pegasus-newsroom-constant-16-32_scores,0.333,0.295,0.174,0.028
bleurt-anyref-pegasus-newsroom-constant-32-64_scores,0.263,0.266,0.13,-0.036
bleurt-anyref-pegasus-cnndm-default_scores,0.165,0.095,-0.036,-0.145
bleurt-anyref-pegasus-cnndm-min-0.2-0.5_scores,0.166,0.095,-0.034,-0.143
bleurt-anyref-pegasus-cnndm-min-0.5-0.7_scores,0.166,0.095,-0.034,-0.143
bleurt-anyref-pegasus-cnndm-mean-0.2-0.5_scores,0.166,0.095,-0.034,-0.143
bleurt-anyref-pegasus-cnndm-mean-0.5-0.7_scores,0.166,0.095,-0.034,-0.143
bleurt-anyref-pegasus-cnndm-constant-16-32_scores,0.166,0.095,-0.034,-0.143
bleurt-anyref-pegasus-cnndm-constant-32-64_scores,0.165,0.095,-0.036,-0.145
bertscore-sentence-pagerank-cos-mpnet-entropy_P,0.528,0.578,0.382,0.429
bertscore-sentence-pagerank-cos-mpnet-entropy_R,0.336,0.213,-0.061,-0.159
bertscore-sentence-pagerank-cos-mpnet-entropy_F,0.367,0.306,0.005,-0.068
bertscore-sentence-pagerank-cos-mpnet-sum_P,0.539,0.563,0.395,0.406
bertscore-sentence-pagerank-cos-mpnet-sum_R,0.28,0.215,-0.075,-0.172
bertscore-sentence-pagerank-cos-mpnet-sum_F,0.427,0.349,0.014,-0.042
bertscore-sentence-pagerank-mnli-deberta-entail_contradict-entropy_P,0.399,0.328,0.367,0.194
bertscore-sentence-pagerank-mnli-deberta-entail_contradict-entropy_R,0.051,-0.064,-0.111,-0.175
bertscore-sentence-pagerank-mnli-deberta-entail_contradict-entropy_F,0.16,0.062,0.099,0.108
bertscore-sentence-pagerank-mnli-deberta-entail_contradict-sum_P,-0.026,0.012,0.082,0.03
bertscore-sentence-pagerank-mnli-deberta-entail_contradict-sum_R,0.109,0.072,0.086,0.042
bertscore-sentence-pagerank-mnli-deberta-entail_contradict-sum_F,-0.465,-0.546,-0.44,-0.434
